,url,label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
37,https://open.spotify.com/track/04YFRczeeieYRlsrPJ8hjh,0,0.673,0.741,7.0,-5.247,0.0,0.0549,0.149,0.00101,0.165,0.604,123.941,205773.0,4.0
38,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,0,0.63,0.694,11.0,-6.257,0.0,0.0253,0.00281,0.0,0.0719,0.216,97.005,195519.0,4.0
39,https://open.spotify.com/track/04bEhujOxzNrXeideMtFuR,0,0.561,0.964,1.0,-6.593,1.0,0.522,0.0118,3.78e-06,0.875,0.452,160.088,119432.0,4.0
40,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ,0,0.614,0.318,7.0,-12.695,1.0,0.0478,0.896,0.00239,0.0795,0.112,119.959,180933.0,4.0
41,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,0,0.877,0.777,1.0,-4.246,1.0,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,231848.0,4.0
42,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR,0,0.591,0.702,7.0,-5.59,1.0,0.0289,0.225,0.0,0.414,0.501,104.003,217653.0,4.0
43,https://open.spotify.com/track/05GsNucq8Bngd9fnd4fRa0,0,0.519,0.527,7.0,-7.673,1.0,0.0274,0.075,0.0,0.132,0.267,78.915,238867.0,4.0
44,https://open.spotify.com/track/05KOgYg8PGeJyyWBPi5ja8,0,0.736,0.491,10.0,-6.892,0.0,0.439,0.0681,0.0,0.571,0.203,141.979,218674.0,4.0
45,https://open.spotify.com/track/05Z7jet4VDNVgNQWcYHnrk,0,0.762,0.576,1.0,-4.951,0.0,0.0829,0.0556,0.0,0.0869,0.316,142.096,220813.0,4.0
46,https://open.spotify.com/track/05aZ9sAU1YXndHv0FMi9iW,0,0.543,0.766,0.0,-3.387,0.0,0.343,0.423,0.0,0.155,0.729,106.869,204805.0,3.0
47,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8,0,0.739,0.742,7.0,-4.586,1.0,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,189000.0,4.0
48,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq,0,0.617,0.684,0.0,-3.618,1.0,0.0439,0.0545,0.0,0.104,0.295,132.113,150867.0,4.0
49,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX,0,0.556,0.481,11.0,-7.663,1.0,0.313,0.282,0.0,0.216,0.581,149.025,120137.0,4.0
50,https://open.spotify.com/track/06FCvd7rrRcF3DdvWH5Isp,0,0.678,0.562,3.0,-9.197,0.0,0.508,0.193,0.0,0.104,0.566,94.241,307880.0,4.0
51,https://open.spotify.com/track/06Pvy98db25O7wlfFFFIRM,0,0.719,0.828,6.0,-5.559,1.0,0.0613,0.0343,0.0,0.0747,0.634,139.927,228682.0,4.0
52,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,0,0.74,0.498,11.0,-6.684,0.0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039.0,4.0
53,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,0,0.831,0.499,11.0,-8.442,0.0,0.114,0.269,0.0,0.3,0.511,97.956,220487.0,4.0
54,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG,0,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680.0,4.0
55,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,0,0.668,0.892,5.0,-3.001,0.0,0.0645,0.298,0.0,0.735,0.478,95.927,159011.0,4.0
56,https://open.spotify.com/track/07Ugv4TA7PvQfoqetnmLrS,0,0.548,0.865,0.0,-5.325,1.0,0.0302,0.00171,0.000449,0.457,0.61,116.046,303013.0,4.0
57,https://open.spotify.com/track/07VJGBnywGutMZ72kRyEop,0,0.593,0.675,2.0,-5.655,0.0,0.133,0.152,2.35e-05,0.119,0.224,104.948,256000.0,4.0
58,https://open.spotify.com/track/07rmSXN6vNoquX1AsWd9pP,0,0.843,0.391,2.0,-7.899,1.0,0.0845,0.181,0.0,0.137,0.496,129.972,160615.0,4.0
59,https://open.spotify.com/track/07w6jp4Fq8GGqhLoDYoVkb,0,0.726,0.8,11.0,-5.858,0.0,0.0588,0.203,0.000175,0.107,0.765,109.984,217104.0,4.0
60,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn,0,0.623,0.851,7.0,-3.111,1.0,0.0409,0.0228,0.0,0.12,0.4,100.063,193924.0,4.0
61,https://open.spotify.com/track/08F16baYbciTva9P4BvpiI,0,0.855,0.492,0.0,-7.578,0.0,0.0483,0.0775,6.71e-06,0.111,0.385,109.975,240000.0,4.0
62,https://open.spotify.com/track/08LwMWf5Tcfsd752EPzFV0,0,0.77,0.574,1.0,-5.525,1.0,0.106,0.0617,0.0,0.104,0.104,98.962,133022.0,3.0
63,https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk,0,0.707,0.618,1.0,-5.825,0.0,0.19,0.17,0.0,0.293,0.517,133.876,231498.0,4.0
64,https://open.spotify.com/track/08XWh5c0BMyD1nKVxxl91z,0,0.843,0.485,10.0,-8.735,0.0,0.195,0.181,0.0675,0.107,0.689,100.053,192418.0,4.0
65,https://open.spotify.com/track/08aYFNUTIOMGq93e2VSArQ,0,0.77,0.75,0.0,-2.715,1.0,0.0785,0.19,0.0,0.0618,0.609,99.997,225600.0,4.0
66,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,0,0.626,0.88,9.0,-2.384,0.0,0.0504,0.205,0.0,0.128,0.534,95.079,202621.0,4.0
67,https://open.spotify.com/track/08fa9LFcFBTcilB3iq2e2A,0,0.354,0.267,1.0,-13.69,1.0,0.0281,0.731,0.000402,0.0858,0.113,94.219,289749.0,4.0
68,https://open.spotify.com/track/08hB2ERJV6A1Ntu3OHgzjh,0,0.735,0.586,8.0,-7.777,1.0,0.13,0.382,0.0,0.101,0.83,89.951,122655.0,4.0
69,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct,0,0.507,0.828,10.0,-6.023,1.0,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,211295.0,4.0
